Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,X_d_transform,batch_norm,data/dataset,data/embed_type,data/n_splits,data/neg_multiple,data/negative_sampling,data/seed,data/split_bounds,data/split_idx,data/split_strategy,data/subdir_patt,data/test_percent,data/toc,exp,final_lr,init_lr,max_lr,metrics,model/agg,model/d_h_encoder,model/encoder_depth,model/featurizer,model/message_passing,model/model,model/name,model/pred_head,model/radius,model/vec_len,reduce_X_d,training/metrics,training/n_epochs,training/pos_multiplier,warmup_epochs,epoch,train_loss,val/accuracy,val/binary_precision,val/binary_recall,val/f1,val/mcc,val/prc,val/roc,val_loss
10/13/2025 15:35,19.4h,6ba21a8e2d0b48838376b9bae6748017,bold-foal-933,LOCAL,/home/spn1560/hiec/scripts/train.py,spn1560,FINISHED,,,sprhea,esm,3,3,random,1234,"[100, 98, 97, 95]",0,esm,sprhea_v3_folded_pt_ns/esm/3fold,20,v3_folded_pt_ns,None,,,,,None,300,None,drfp,None,linear,drfp,DotSig,,2048,,"['BinaryF1Metric', 'BinaryPrecision', 'BinaryRecall', 'BinaryMCC', 'BinaryAccuracyMetric', 'BinaryAUPRCMetric', 'BinaryAUROCMetric']",25,3,,24,1.167937159538269,0.9009872674942017,0.9587085843086243,0.8378708362579346,0.8940860033035278,0.8083434700965881,0.9653966426849365,0.9627838730812073,0.8940860033035278
10/13/2025 15:35,6.6h,78b16283d7fe4317b747c6df4c2b417b,invincible-shoat-923,LOCAL,/home/spn1560/hiec/scripts/train.py,spn1560,FINISHED,,,sprhea,esm,3,3,random,1234,"[100, 98, 97, 95]",0,esm,sprhea_v3_folded_pt_ns/esm/3fold,20,v3_folded_pt_ns,None,,,,,None,300,None,mfp,None,linear,mfp,DotSig,2,2048,,"['BinaryF1Metric', 'BinaryPrecision', 'BinaryRecall', 'BinaryMCC', 'BinaryAccuracyMetric', 'BinaryAUPRCMetric', 'BinaryAUROCMetric']",25,3,,24,1.1777387857437134,0.9006428718566895,0.9629486799240112,0.8331313133239746,0.8931869864463806,0.8085847496986389,0.9686356782913208,0.9673327207565308,0.8931869864463806
10/13/2025 14:03,13.2h,35751dd210f94c77b9d7be8994162c0b,skillful-trout-927,LOCAL,/home/spn1560/hiec/scripts/train.py,spn1560,FINISHED,None,TRUE,sprhea,esm,3,3,random,1234,"[100, 98, 97, 95]",0,esm,sprhea_v3_folded_pt_ns/esm/3fold,20,v3_folded_pt_ns,None,0.0001,0.0001,0.001,"[BinaryF1Metric(task_weights=[[1.0]]), BinaryPrecision(task_weights=[[1.0]]), BinaryRecall(task_weights=[[1.0]]), BinaryMCC(task_weights=[[1.0]]), BinaryAccuracyMetric(task_weights=[[1.0]]), BinaryAUPRCMetric(task_weights=[[1.0]]), BinaryAUROCMetric(",MeanAggregation,300,6,cgr,BondMessagePassing,mpnn_dim_red,cgr,DotSig,,,"LinDimRed(
  (linear_layer): Linear(in_features=1280, out_features=300, bias=True)
)","['BinaryF1Metric', 'BinaryPrecision', 'BinaryRecall', 'BinaryMCC', 'BinaryAccuracyMetric', 'BinaryAUPRCMetric', 'BinaryAUROCMetric']",25,3,2,24,0.001560238,0.9163700938224792,0.9745261669158936,0.8549745082855225,0.9107357263565063,0.8390002250671387,0.9809104800224304,0.9801129102706909,0.9107357263565063
10/13/2025 13:53,16.8h,0312ce9761d64c009ffc0e5179fcb423,delicate-cod-249,LOCAL,/home/spn1560/hiec/scripts/train.py,spn1560,FINISHED,None,TRUE,sprhea,esm,3,3,random,1234,"[100, 98, 97, 95]",0,esm,sprhea_v3_folded_pt_ns/esm/3fold,20,v3_folded_pt_ns,None,0.0001,0.0001,0.001,"[BinaryF1Metric(task_weights=[[1.0]]), BinaryPrecision(task_weights=[[1.0]]), BinaryRecall(task_weights=[[1.0]]), BinaryMCC(task_weights=[[1.0]]), BinaryAccuracyMetric(task_weights=[[1.0]]), BinaryAUPRCMetric(task_weights=[[1.0]]), BinaryAUROCMetric(",MeanAggregation,300,6,rxn_simple,BondMessagePassing,mpnn_dim_red,bom,DotSig,,,"LinDimRed(
  (linear_layer): Linear(in_features=1280, out_features=300, bias=True)
)","['BinaryF1Metric', 'BinaryPrecision', 'BinaryRecall', 'BinaryMCC', 'BinaryAccuracyMetric', 'BinaryAUPRCMetric', 'BinaryAUROCMetric']",25,3,2,24,0.00664568,0.9107450246810913,0.9715486168861389,0.8460469841957092,0.9043067693710327,0.8283519148826599,0.9764134883880615,0.9755002856254578,0.9043067693710327
10/13/2025 11:11,11.7h,fd693b7a889f420fb173cc4976f1bf35,gaudy-grouse-179,LOCAL,/home/spn1560/hiec/scripts/train.py,spn1560,FINISHED,None,TRUE,sprhea,esm,3,3,random,1234,"[100, 98, 97, 95]",0,esm,sprhea_v3_folded_pt_ns/esm/3fold,20,v3_folded_pt_ns,None,0.0001,0.0001,0.001,"[BinaryF1Metric(task_weights=[[1.0]]), BinaryPrecision(task_weights=[[1.0]]), BinaryRecall(task_weights=[[1.0]]), BinaryMCC(task_weights=[[1.0]]), BinaryAccuracyMetric(task_weights=[[1.0]]), BinaryAUPRCMetric(task_weights=[[1.0]]), BinaryAUROCMetric(",LastAggregation,300,4,rxn_rc,BondMessagePassing,mpnn_dim_red,rc_agg,DotSig,,,"LinDimRed(
  (linear_layer): Linear(in_features=1280, out_features=300, bias=True)
)","['BinaryF1Metric', 'BinaryPrecision', 'BinaryRecall', 'BinaryMCC', 'BinaryAccuracyMetric', 'BinaryAUPRCMetric', 'BinaryAUROCMetric']",25,3,2,24,0.0149145,0.9253817200660706,0.9776365756988525,0.8707214593887329,0.9209659695625305,0.8559179902076721,0.982134223,0.9837592244148254,0.9209659695625305
10/13/2025 11:11,17.1h,6694ca03df624497953e8be7e39fb690,unique-kite-513,LOCAL,/home/spn1560/hiec/scripts/train.py,spn1560,FINISHED,None,TRUE,sprhea,esm,3,3,random,1234,"[100, 98, 97, 95]",0,esm,sprhea_v3_folded_pt_ns/esm/3fold,20,v3_folded_pt_ns,None,0.0001,0.0001,0.001,"[BinaryF1Metric(task_weights=[[1.0]]), BinaryPrecision(task_weights=[[1.0]]), BinaryRecall(task_weights=[[1.0]]), BinaryMCC(task_weights=[[1.0]]), BinaryAccuracyMetric(task_weights=[[1.0]]), BinaryAUPRCMetric(task_weights=[[1.0]]), BinaryAUROCMetric(",MeanAggregation,300,6,rxn_rc,BondMessagePassing,mpnn_dim_red,rc_cxn,DotSig,,,"LinDimRed(
  (linear_layer): Linear(in_features=1280, out_features=300, bias=True)
)","['BinaryF1Metric', 'BinaryPrecision', 'BinaryRecall', 'BinaryMCC', 'BinaryAccuracyMetric', 'BinaryAUPRCMetric', 'BinaryAUROCMetric']",25,3,2,24,0.003190064,0.9160830974578857,0.9759439826011658,0.8530148267745972,0.9102266430854797,0.8387783765792847,0.981455386,0.9815549254417419,0.9102266430854797
10/13/2025 11:11,10.6h,aec8a9ca120a4d30ac99fe8fca1f7b63,enchanting-bug-142,LOCAL,/home/spn1560/hiec/scripts/train.py,spn1560,FINISHED,None,TRUE,sprhea,esm,3,3,random,1234,"[100, 80, 60, 40]",0,drfp,sprhea_v3_folded_pt_ns/drfp/3fold,20,v3_folded_pt_ns,None,0.0001,0.0001,0.001,"[BinaryF1Metric(task_weights=[[1.0]]), BinaryPrecision(task_weights=[[1.0]]), BinaryRecall(task_weights=[[1.0]]), BinaryMCC(task_weights=[[1.0]]), BinaryAccuracyMetric(task_weights=[[1.0]]), BinaryAUPRCMetric(task_weights=[[1.0]]), BinaryAUROCMetric(",LastAggregation,300,4,rxn_rc,BondMessagePassing,mpnn_dim_red,rc_agg,DotSig,,,"LinDimRed(
  (linear_layer): Linear(in_features=1280, out_features=300, bias=True)
)","['BinaryF1Metric', 'BinaryPrecision', 'BinaryRecall', 'BinaryMCC', 'BinaryAccuracyMetric', 'BinaryAUPRCMetric', 'BinaryAUROCMetric']",25,3,2,24,0.004065369,0.8850619792938232,0.9734025001525879,0.7918310761451721,0.8730337619781494,0.783777118,0.9707458019256592,0.9712816476821899,0.8730337619781494
10/13/2025 11:11,14.1h,65261323c12646998504e370a16b1ea0,masked-pig-188,LOCAL,/home/spn1560/hiec/scripts/train.py,spn1560,FINISHED,None,TRUE,sprhea,esm,3,3,random,1234,"[100, 80, 60, 40]",0,drfp,sprhea_v3_folded_pt_ns/drfp/3fold,20,v3_folded_pt_ns,None,0.0001,0.0001,0.001,"[BinaryF1Metric(task_weights=[[1.0]]), BinaryPrecision(task_weights=[[1.0]]), BinaryRecall(task_weights=[[1.0]]), BinaryMCC(task_weights=[[1.0]]), BinaryAccuracyMetric(task_weights=[[1.0]]), BinaryAUPRCMetric(task_weights=[[1.0]]), BinaryAUROCMetric(",MeanAggregation,300,6,rxn_simple,BondMessagePassing,mpnn_dim_red,bom,DotSig,,,"LinDimRed(
  (linear_layer): Linear(in_features=1280, out_features=300, bias=True)
)","['BinaryF1Metric', 'BinaryPrecision', 'BinaryRecall', 'BinaryMCC', 'BinaryAccuracyMetric', 'BinaryAUPRCMetric', 'BinaryAUROCMetric']",25,3,2,24,0.05549667,0.8796501755714417,0.9707271456718445,0.782843828,0.866471529,0.7736719250679016,0.9671071171760559,0.9663741588592529,0.866471529
10/13/2025 11:11,16.6h,4775a790d24642c2ad2da19fea3abaf2,nebulous-owl-729,LOCAL,/home/spn1560/hiec/scripts/train.py,spn1560,FINISHED,,,sprhea,esm,3,3,random,1234,"[100, 80, 60, 40]",0,drfp,sprhea_v3_folded_pt_ns/drfp/3fold,20,v3_folded_pt_ns,None,,,,,None,300,None,drfp,None,linear,drfp,DotSig,,2048,,"['BinaryF1Metric', 'BinaryPrecision', 'BinaryRecall', 'BinaryMCC', 'BinaryAccuracyMetric', 'BinaryAUPRCMetric', 'BinaryAUROCMetric']",25,3,,24,1.2974995374679565,0.8256039023399353,0.9593876600265503,0.6803911924362183,0.7957503795623779,0.6806620955467224,0.9452858567237854,0.9409493803977966,0.7957503795623779
10/13/2025 11:11,14.9h,bb55e8301105445c82cb289260f06025,adorable-kit-703,LOCAL,/home/spn1560/hiec/scripts/train.py,spn1560,FINISHED,None,TRUE,sprhea,esm,3,3,random,1234,"[100, 80, 60, 40]",0,drfp,sprhea_v3_folded_pt_ns/drfp/3fold,20,v3_folded_pt_ns,None,0.0001,0.0001,0.001,"[BinaryF1Metric(task_weights=[[1.0]]), BinaryPrecision(task_weights=[[1.0]]), BinaryRecall(task_weights=[[1.0]]), BinaryMCC(task_weights=[[1.0]]), BinaryAccuracyMetric(task_weights=[[1.0]]), BinaryAUPRCMetric(task_weights=[[1.0]]), BinaryAUROCMetric(",MeanAggregation,300,6,rxn_rc,BondMessagePassing,mpnn_dim_red,rc_cxn,DotSig,,,"LinDimRed(
  (linear_layer): Linear(in_features=1280, out_features=300, bias=True)
)","['BinaryF1Metric', 'BinaryPrecision', 'BinaryRecall', 'BinaryMCC', 'BinaryAccuracyMetric', 'BinaryAUPRCMetric', 'BinaryAUROCMetric']",25,3,2,24,0.018660335,0.8532721400260925,0.97363174,0.7259621620178223,0.8313530087471008,0.7302456498146057,0.9691975116729736,0.9703519344329834,0.8313530087471008
