data,model,neg_multiple,sim_split,metric,mean,ci_lower,ci_upper,id
rcmcs,bom,1,"(0.8, 1)",f1,0.9458138020700855,0.9379283502269905,0.9528558224718653,ff90895a6070499b8fdcdc0982526885
rcmcs,bom,1,"(0.8, 1)",binary_precision,0.9247216867775554,0.913816129680867,0.9345521069896543,ff90895a6070499b8fdcdc0982526885
rcmcs,bom,1,"(0.8, 1)",binary_recall,0.9679426967893615,0.9613007383595182,0.9742272228900543,ff90895a6070499b8fdcdc0982526885
rcmcs,bom,1,"(0.8, 1)",accuracy,0.9505239259517987,0.9435819070904645,0.9588194201886133,ff90895a6070499b8fdcdc0982526885
rcmcs,bom,1,"(0.8, 1)",roc_auc,0.9866109264329038,0.984201448446162,0.9897914088670341,ff90895a6070499b8fdcdc0982526885
rcmcs,bom,1,"(0.6, 0.8)",f1,0.9294814690956918,0.924022201099871,0.9358024143781062,ff90895a6070499b8fdcdc0982526885
rcmcs,bom,1,"(0.6, 0.8)",binary_precision,0.9325085249501383,0.9195754924989638,0.9438414465915487,ff90895a6070499b8fdcdc0982526885
rcmcs,bom,1,"(0.6, 0.8)",binary_recall,0.9281545307034472,0.9168601009576897,0.9368332222607679,ff90895a6070499b8fdcdc0982526885
rcmcs,bom,1,"(0.6, 0.8)",accuracy,0.9328408195429473,0.9258668242710796,0.9384259259259259,ff90895a6070499b8fdcdc0982526885
rcmcs,bom,1,"(0.6, 0.8)",roc_auc,0.9682740599926559,0.9621858186503971,0.9727540284963669,ff90895a6070499b8fdcdc0982526885
rcmcs,bom,1,"(0.4, 0.6)",f1,0.7965080231689465,0.7791919656359432,0.8148196958725561,ff90895a6070499b8fdcdc0982526885
rcmcs,bom,1,"(0.4, 0.6)",binary_precision,0.9128058391251356,0.8933905681352395,0.9307099556010929,ff90895a6070499b8fdcdc0982526885
rcmcs,bom,1,"(0.4, 0.6)",binary_recall,0.7139911625277786,0.6874674748808906,0.7384487933823289,ff90895a6070499b8fdcdc0982526885
rcmcs,bom,1,"(0.4, 0.6)",accuracy,0.8335086633663366,0.8139387376237625,0.8524288366336634,ff90895a6070499b8fdcdc0982526885
rcmcs,bom,1,"(0.4, 0.6)",roc_auc,0.8923105593550412,0.8772450046538258,0.9106501011473448,ff90895a6070499b8fdcdc0982526885
rcmcs,bom,1,"(0.0, 0.4)",f1,0.6621142952480948,0.6487511885837741,0.6807370853226534,ff90895a6070499b8fdcdc0982526885
