ec_level,top_k,rcmcs_accuracy,drfp_accuracy
1,1,0.9704334365325077,0.8934984520123839
1,3,0.9795665634674923,0.9467492260061919
1,5,0.9845201238390093,0.9631578947368421
1,10,0.993188854489164,0.9777089783281734
2,1,0.9489164086687306,0.8068111455108359
2,3,0.9613003095975232,0.8739938080495356
2,5,0.9654798761609907,0.9001547987616099
2,10,0.9743034055727554,0.9294117647058824
3,1,0.9236842105263158,0.7657894736842106
3,3,0.9456656346749226,0.836687306501548
3,5,0.9503095975232199,0.8668730650154799
3,10,0.958204334365325,0.8987616099071207
