hp_idx	mean_train_loss	std_train_loss	mean_val_loss	std_val_loss	mean_fit_time	train_loss_curve	val_loss_curve	seed	lr	max_epochs	batch_size	optimizer__weight_decay	module__n_factors	module__scl_embeds
10	0.1659216808585246	0.0008554757079681948	0.6018691600264385	0.0024999286640834785	10995.457864744589	[0.697098029486505, 0.598532245605142, 0.5222546024755998, 0.4512335726848015, 0.3878022976098083, 0.33536421224509644, 0.2943113895788754, 0.26314539379833185, 0.2398040310625152, 0.22238201807776253, 0.2092964056801129, 0.19935639024145538, 0.19172807219318855, 0.18579430638493358, 0.18111912574454064, 0.17737471864999452, 0.174332083344008, 0.17182792638078992, 0.16974418607295116, 0.16799675790909982]	[0.6966780336427366, 0.6947491520155447, 0.6899714959226418, 0.6811966063412621, 0.6705296066055266, 0.660179533604615, 0.651036040742349, 0.6433395428670317, 0.6369604785268916, 0.6316410301830363, 0.6271252449915442, 0.6232716074896515, 0.6199483634444989, 0.6170749156923665, 0.6145223185965497, 0.6122291498033837, 0.6101666274785607, 0.6083011750777192, 0.6066140689635005, 0.6050600659585994]	1234	0.005	5000	5	5e-05	50	True
4	0.34333368676570364	0.0010635174498389525	0.6122117864266667	0.0003956310287873243	17052.566648995504	[0.6948548901898235, 0.6136779909952172, 0.5715645208284276, 0.5387308317017072, 0.5090235260837032, 0.4822259609079161, 0.4587045252413482, 0.43851282198297364, 0.4214075916097364, 0.4070478739643825, 0.3950268979407769, 0.38499591808951134, 0.376620296540864, 0.3695706275427889, 0.36365760114121254, 0.3586410086477767, 0.3544006665569693, 0.3507704847716151, 0.3476444369072985, 0.3449342995430379]	[0.6965045852538867, 0.6944524218569269, 0.6908749284305217, 0.684681420629119, 0.6765034777440113, 0.6677903651079654, 0.6595521001340626, 0.6522208056944512, 0.6458778446996128, 0.6404227196718707, 0.6357512781287963, 0.6317187999234055, 0.6282371470144579, 0.6252013543373222, 0.6225530813450302, 0.6202224040434355, 0.6181608345924001, 0.6163353279823468, 0.6147013218912767, 0.6132403497165178]	1234	0.005	5000	5	0.0001	50	True
8	0.16735962449349762	0.0005523297505772556	0.6159493631240843	0.0007139751660652897	13855.933574808761	[0.7017868407944416, 0.603508064066038, 0.5300422773810916, 0.4612384097896886, 0.39822828579293623, 0.34505338276160796, 0.302736251868827, 0.27020151802684134, 0.24545916527732042, 0.22682158968166666, 0.21277268283116035, 0.20211735360044703, 0.19390251225446398, 0.1875023516075237, 0.1824635662152359, 0.1784482084972079, 0.17521412240931497, 0.17256747556020396, 0.1703645244143481, 0.16851842230566733]	[0.6994860664808945, 0.6981857402341349, 0.6951294823404237, 0.688500701999053, 0.6794766607957009, 0.6701622664372682, 0.6618188085742208, 0.6546423233402915, 0.6485076772617849, 0.6433345969323512, 0.6389559251202014, 0.635197046979185, 0.6319653380549315, 0.6291505385945727, 0.6266464330516495, 0.6243657223654516, 0.6222679246659879, 0.6203578318401928, 0.6186157413226463, 0.6169863614863726]	1234	0.005	5000	5	5e-05	20	True
2	0.3462148919619672	0.0011331035967835324	0.616947484128512	0.0008678191053146356	13706.88794209063	[0.6993757753654025, 0.6171070509063639, 0.5762433452007514, 0.5450267655799705, 0.5165973159991157, 0.49046686880236656, 0.4670528003589399, 0.4465493493999849, 0.4289465966369756, 0.4140229505602089, 0.40142971247531894, 0.3908406210566879, 0.38193123918100513, 0.37441465380892774, 0.3680761719075192, 0.3627029503905209, 0.3581251204882393, 0.3542054803860885, 0.3508516165340355, 0.3479409477293255]	[0.6993501615691018, 0.6951004112517083, 0.6911641558706065, 0.685297868051729, 0.6777134069473871, 0.6695113762136384, 0.6616783936471095, 0.65467223215909, 0.6485728038461892, 0.6433263502164043, 0.638867515593003, 0.6350754648968057, 0.6317791593172055, 0.6289035034103271, 0.6264019894711066, 0.6242196010751324, 0.6222885876268773, 0.6205703110058547, 0.6190175060486738, 0.6176081979191387]	1234	0.005	5000	5	0.0001	20	True
0	0.3505988207933945	0.0009583005239549345	0.6236752703075277	0.0037569871926881313	12519.804613037035	[0.7054065399255806, 0.6211815041056267, 0.581561017280332, 0.552113893726095, 0.5251616853973087, 0.49981952807958324, 0.4766909019927318, 0.45615723756580373, 0.43826215233550425, 0.422879778805883, 0.40986287445663766, 0.3988258946095488, 0.38948179022655477, 0.3814974204522242, 0.3746894852602001, 0.3688868318099635, 0.36388368828851436, 0.3595878528628657, 0.3558876556664615, 0.3526901990804091]	[0.7078258823820484, 0.7005574769212372, 0.696555454761554, 0.6918955707883502, 0.6859810970949404, 0.6792102565159609, 0.6722733340896927, 0.6657181047684663, 0.6598513642530064, 0.6546721539366773, 0.6501961381702156, 0.6462776293774029, 0.6428558288754284, 0.6398513409849647, 0.6372181034553579, 0.6349240745350475, 0.6328472930825118, 0.6309668851760162, 0.6292541230440417, 0.6277180139001433]	1234	0.005	5000	5	0.0001	10	True
1	0.34528806657373246	0.0002747962452165861	0.6272709694856188	0.004541840196999901	13016.111062353477	[1.4209465443879574, 0.4099016844713952, 0.30146280574527656, 0.2887167778899481, 0.29503472374278905, 0.30608866824866177, 0.31725329909221833, 0.3269958230894762, 0.334793877455738, 0.3406779174638656, 0.34481852470369606, 0.34748417517660934, 0.3490720878253172, 0.34985299013329274, 0.35006426730668627, 0.34983739790035573, 0.34928422865820374, 0.3485168060570052, 0.3475934434986059, 0.34655981989347295]	[1.4767659838072735, 1.0607138884080738, 0.8909510274079608, 0.7997793743982269, 0.7474951037968142, 0.7157056783672312, 0.6952203111955407, 0.6811958943791366, 0.6707571997116373, 0.6626703430372787, 0.6562135117430319, 0.6507860905232199, 0.6461363744453607, 0.6421379448477276, 0.63867320223868, 0.6355388299148381, 0.6327275787340119, 0.6302352716460543, 0.6279523439842606, 0.6258897613564636]	1234	0.005	5000	5	0.0001	10	False
3	0.3417136170207209	0.0007441551941640643	0.6282735274434754	7.736116754008895e-05	13324.109568510205	[1.8935334836374396, 0.2319249076215912, 0.16727760532038366, 0.17945212010953443, 0.2040668930185233, 0.23069031671033535, 0.25562212140577106, 0.2772860693456299, 0.2951226373806537, 0.30916959707255853, 0.31990102276563864, 0.32779513780304703, 0.33341673129288346, 0.33726345289452536, 0.33974958866431626, 0.3412493013503891, 0.3420353088954385, 0.3422873407623156, 0.3421616386313849, 0.3417713570272375]	[1.9586819635838757, 1.354475681928349, 1.0590981416282677, 0.8918617244436469, 0.798725917535923, 0.7465889127034964, 0.7159709061880212, 0.696695952079235, 0.6835383816963031, 0.6738621160770074, 0.666249419807832, 0.6599054795392465, 0.6545003713358254, 0.64978808654355, 0.6456365427458203, 0.6419729374192812, 0.6387181557141818, 0.6357445451311576, 0.633022829178191, 0.6305678043436337]	1234	0.005	5000	5	0.0001	20	False
22	0.2086710223413633	0.0009121343277112095	0.6287061281015034	0.0004161347988426177	7177.394563918933	[0.695749539613557, 0.6411827131845257, 0.5974498114321276, 0.5583944939099483, 0.5211873922655982, 0.48497815595887206, 0.4500147713095082, 0.41693832288396526, 0.38632638075324477, 0.35856078093661714, 0.3337706187042942, 0.3118814120907749, 0.2927172007497359, 0.27606045720001343, 0.2616183267944091, 0.24913419213681878, 0.23835863762592263, 0.2290519470655993, 0.22100890932118705, 0.2140466411419753]	[0.6975209540698356, 0.6967920830477645, 0.6957888933884236, 0.6940105514370756, 0.6911725885384566, 0.6872690518697103, 0.6825128356059948, 0.6772465843420762, 0.6717910522069687, 0.6664371518960922, 0.6613293354744678, 0.6565724242400456, 0.6521786558322418, 0.6481662208522672, 0.6445032314403908, 0.6411661559190506, 0.6381209620506891, 0.6353549501556894, 0.6328314649058389, 0.6305240835204269]	1234	0.005	5000	10	5e-05	50	True
5	0.34093324773987155	0.000604743000945254	0.6304234294408069	0.00010221335201537662	16703.992777578533	[3.25760632976557, 0.10184351420794338, 0.07500739292671357, 0.09499129175872312, 0.12265161236917035, 0.15362159129667322, 0.18525980519099122, 0.2156500096631984, 0.243287876404702, 0.2671446501183799, 0.28685472532498807, 0.3024902763112243, 0.31446661342410503, 0.32334445617914087, 0.3297608903524314, 0.33422647389144877, 0.3372022924872233, 0.33903348750759876, 0.340060133034462, 0.340503104234331]	[2.8560102671023353, 1.9239797216876995, 1.3809011510045794, 1.0603218745692071, 0.8814073418612247, 0.7861761633298058, 0.7359843397196079, 0.7085140829250252, 0.6920560220460514, 0.6810293144140488, 0.6727297295987745, 0.665987349091432, 0.6602062165459275, 0.6550861282017959, 0.6504730827811159, 0.6463022085128131, 0.6425265716019766, 0.6390893761164103, 0.6359378555160025, 0.6330320501487294]	1234	0.005	5000	5	0.0001	50	False
6	0.1697783538074914	0.0005596806236773412	0.6326005892792541	0.009638999219023463	12830.34955509752	[0.7045091314888223, 0.6044226908982495, 0.5326862215891585, 0.46736290505577077, 0.4079740541989292, 0.3569809093133553, 0.3152480810220703, 0.28216477892511377, 0.25649068642642114, 0.23668015118262845, 0.22145031538025622, 0.20972174838497923, 0.20058124676555186, 0.19343579047313936, 0.18778229021143802, 0.18325676479852282, 0.17957300681942132, 0.17653699315615468, 0.17401989046614486, 0.17192491100523577]	[0.7051507263201382, 0.6997874244773101, 0.6947900801445394, 0.6874812390871553, 0.6792133684535214, 0.6714208674933922, 0.6646646212227947, 0.6590028177694053, 0.6542623232373493, 0.6502511804755348, 0.6467669626515933, 0.6436831858916754, 0.6409288506045517, 0.6384059493029332, 0.6361746843092145, 0.6341081708982347, 0.6321599364565591, 0.6303877539986579, 0.6287330652685481, 0.627203992700196]	1234	0.005	5000	5	5e-05	10	True
