Entry	Max cosine similarity	Mean cosine similarity	Max percent identity	Mean percent identity
WP_063460136	0.99692833	0.9699413	0.5212264150943396	0.29183492073152006
WP_063462980	0.9991231	0.97057617	0.7734627831715211	0.301400986173306
WP_063462990	0.99826086	0.97192186	0.5107142857142857	0.2974527685229067
WP_041412631	0.99903023	0.9770854	0.7337883959044369	0.2769299494647265
WP_011717048	0.9974558	0.9643135	0.4843304843304843	0.3062783591152857
WP_011717064	0.9959048	0.9701987	0.46	0.30063006451447705
WP_011717945	0.9986017	0.97482026	0.4337748344370861	0.30985106213499947
WP_014239822	0.99561924	0.97399884	0.4721311475409836	0.27615206165285405
WP_012431492	0.99717534	0.97123295	0.5480093676814989	0.2914503517569421
WP_012431722	0.99719846	0.97469103	0.4877250409165303	0.27526374080194616
WP_012434194	0.9978102	0.9730917	0.4438356164383562	0.3060669906494671
WP_012434361	0.99847245	0.9719862	0.5263157894736842	0.3001007687515462
WP_012434437	0.9948657	0.9635367	0.4178321678321678	0.2811364036119302
WP_012434865	0.99964654	0.9759694	0.6946826758147513	0.2779209385138884
WP_012426462	0.99951845	0.97127515	0.7225806451612903	0.3042300965869239
WP_012426549	0.9988517	0.97581863	0.5809128630705395	0.2914236727571813
WP_012426550	0.99740106	0.9733727	0.4484304932735426	0.29753693397793624
WP_012428705	0.9990169	0.9695491	0.5664739884393064	0.31041615638379627
WP_012428706	0.9979858	0.97327507	0.4385150812064965	0.3042968494535566
WP_085966746	0.9949024	0.96666485	0.4247787610619469	0.20247812599582946
WP_043352074	0.9981477	0.97537065	0.47217235188509876	0.28020058519547686
WP_043349422	0.9985391	0.9753465	0.6292585170340681	0.2921318301466868
WP_043349427	0.9950441	0.9673811	0.5320855614973262	0.30537945811849926
WP_043349430	0.998626	0.9732139	0.6033254156769596	0.3002199834875062
WP_043354857	0.99574184	0.97316575	0.4477211796246649	0.30592037879149936
WP_012179094	0.99444485	0.9685068	0.42071881606765327	0.2967953470048113
WP_012179101	0.99239075	0.97634315	0.4057142857142857	0.25691330857659983
WP_066580460	0.9924955	0.9695092	0.40594059405940597	0.2718015796363997
WP_066581977	0.99235207	0.96977144	0.4748603351955307	0.28601389005530564
WP_066578892	0.99865013	0.9721076	0.6602316602316602	0.3016694032485622
WP_066578896	0.9989548	0.9674804	0.6285714285714286	0.28923156686829327
WP_041645374	0.9961957	0.97327894	0.46557377049180326	0.27685448365076404
WP_014576347	0.9986183	0.9726355	0.5670886075949367	0.30831122179581405
NP_719054	0.9985745	0.97391605	0.43333333333333335	0.3076321826687553
WP_014879948	0.9962615	0.9704104	0.46258503401360546	0.30136056887811635
WP_014880051	0.9938135	0.9728605	0.4230769230769231	0.30533905658635047
WP_014880077	0.9974674	0.97188747	0.5179856115107914	0.3037900359318203
WP_014880980	0.995054	0.97458917	0.44333333333333336	0.3119725176480409
WP_014881125	0.9982315	0.972992	0.509009009009009	0.29747777698548394
WP_014881126	0.9930103	0.9719736	0.4562841530054645	0.31320655479258486
WP_014881127	0.9973007	0.9759649	0.5250501002004008	0.29725995501484337
WP_014879336	0.9965125	0.973138	0.46075085324232085	0.30500852317960625
WP_014879339	0.9957434	0.9762784	0.4089775561097257	0.3011756611196804
WP_014235627	0.99210614	0.96678895	0.4177215189873418	0.24791179637562105
WP_063341556	0.9976566	0.97230184	0.520746887966805	0.29592999933534864
WP_007897683	0.9977907	0.97315	0.4703389830508475	0.30264680901053903
WP_063341172	0.9975491	0.97418165	0.4632352941176471	0.29834377402440176
WP_063343423	0.999772	0.97618824	0.8618181818181818	0.2945241194252406
