	EC number
0	6.3.1.11
1	1.13.11.31
2	2.1.1.334
3	5.4.99.52
4	3.1.30.1
5	2.1.1.103
6	2.1.1.205
7	7.4.2.5
8	2.4.2.31
9	2.4.2.52
10	3.1.3.23
11	1.4.99.6
12	3.2.1.117
13	2.7.1.8
14	4.2.3.146
15	5.1.3.8
16	1.3.1.100
17	4.2.3.147
18	2.1.1.191
19	4.1.1.44
20	3.1.11.5
21	3.6.5.2
22	1.6.3.1
23	2.7.8.13
24	2.3.1.26
25	2.1.1.117
26	1.1.1.1
27	2.3.1.6
28	2.6.1.64
29	4.2.2.5
30	3.1.3.78
31	1.1.1.300
32	1.13.11.80
33	6.1.1.12
34	2.4.1.150
35	2.4.1.264
36	1.5.3.22
37	2.3.1.195
38	2.8.3.16
39	1.1.1.421
40	2.5.1.7
41	1.1.1.206
42	4.2.1.172
43	6.3.4.4
44	1.13.11.16
45	2.3.3.18
46	7.3.2.7
47	2.4.1.5
48	3.2.1.83
49	3.3.2.11
50	3.4.11.22
51	2.7.4.31
52	3.6.1.57
53	1.3.5.2
54	2.6.1.86
55	4.2.2.9
56	2.4.1.231
57	1.14.13.114
58	5.4.99.43
59	7.2.2.4
60	3.4.11.9
61	3.4.24.1
62	2.2.1.3
63	3.3.2.9
64	3.6.1.23
65	3.1.3.81
66	2.6.1.17
67	1.14.14.105
68	3.1.1.99
69	4.1.1.96
70	1.97.1.2
71	5.1.1.24
72	1.14.19.5
73	2.1.2.10
74	4.1.99.19
75	2.4.1.350
76	2.4.1.298
77	2.3.1.205
78	2.1.1.364
79	2.1.1.133
80	4.2.1.81
81	2.7.1.153
82	6.5.1.7
83	1.14.99.65
84	2.4.99.6
85	3.4.19.5
86	5.5.1.20
87	1.1.5.2
88	2.4.99.19
89	2.1.1.316
90	3.1.3.82
91	1.14.13.195
92	2.3.1.192
93	2.5.1.113
94	2.1.1.313
95	2.7.2.17
96	2.7.8.27
97	1.14.11.39
98	2.3.1.28
99	2.3.1.76
100	1.3.1.32
101	2.8.5.2
102	1.4.1.16
103	1.8.98.4
104	2.3.1.251
105	2.7.7.105
106	5.4.99.15
107	1.1.3.5
108	6.2.1.40
109	1.8.3.2
110	2.7.2.16
111	2.1.1.151
112	1.11.1.8
113	3.4.22.14
114	4.2.3.27
115	2.8.2.23
116	3.2.1.25
117	4.1.2.47
118	3.2.1.185
119	1.1.1.302
120	2.1.1.132
121	3.2.1.89
122	2.5.1.16
123	2.4.1.62
124	1.1.5.13
125	2.7.1.138
126	3.5.4.44
127	3.5.99.2
128	1.13.12.13
129	3.5.1.105
130	1.17.1.4
131	2.7.1.189
132	5.3.1.16
133	1.1.1.415
134	1.14.13.63
135	2.4.1.329
136	2.3.1.13
137	2.1.1.254
138	3.1.11.2
139	2.6.1.106
140	1.10.3.9
141	1.1.1.330
142	1.14.14.25
143	6.2.1.33
144	1.1.1.340
145	6.3.2.58
146	3.1.3.69
147	5.2.1.12
148	2.1.1.186
149	5.5.1.9
150	4.1.1.20
151	4.2.3.121
152	4.1.1.48
153	4.1.1.49
154	4.1.1.55
155	2.5.1.143
156	2.1.2.9
157	2.1.1.129
158	5.4.99.28
159	1.14.12.15
160	3.5.1.135
161	5.6.2.2
162	2.2.1.1
163	6.3.5.1
164	2.7.7.69
165	4.2.3.97
166	3.4.24.12
167	2.8.3.17
168	2.3.1.68
169	1.1.1.33
170	2.1.1.265
171	2.4.1.33
172	4.2.1.150
173	3.6.5.5
174	6.1.1.23
175	4.3.2.9
176	6.1.1.22
177	2.4.1.208
178	2.5.1.145
179	1.2.1.8
180	2.7.7.99
181	1.21.4.4
182	3.1.7.10
183	3.4.24.66
184	3.4.17.10
185	2.1.1.180
186	7.2.2.16
187	6.1.2.1
188	2.3.2.28
189	2.1.2.3
190	3.2.1.161
191	2.4.1.121
192	4.2.1.136
193	3.5.4.9
194	2.5.1.139
195	2.6.1.111
196	2.7.14.1
197	1.5.99.13
198	2.4.2.1
199	5.4.2.10
200	3.1.3.60
201	1.23.1.4
202	2.4.1.60
203	3.1.1.42
204	3.4.22.28
205	2.6.1.4
206	2.7.8.33
207	1.2.1.92
208	1.1.3.8
209	3.2.1.186
210	2.8.3.9
211	2.1.1.169
212	3.4.17.24
213	4.1.1.32
214	6.2.1.64
215	7.4.2.4
216	5.4.99.35
217	1.13.12.7
218	1.3.1.n3
219	7.4.2.9
220	1.1.1.410
221	3.2.1.130
222	1.1.1.360
223	2.4.1.265
224	4.2.1.77
225	2.7.1.107
226	5.5.1.7
227	1.20.4.3
228	1.1.1.298
229	5.4.3.2
230	2.4.1.25
231	3.4.17.6
232	2.1.1.112
233	1.8.5.5
234	1.13.11.49
235	2.1.3.6
236	4.2.1.156
237	5.1.3.38
238	2.4.1.324
239	3.1.2.6
240	6.6.1.2
241	3.5.3.23
242	7.5.2.9
243	5.1.1.1
244	6.2.1.56
245	1.1.1.94
246	3.4.23.18
247	2.3.1.91
248	1.1.3.41
249	6.2.1.24
250	1.14.14.98
251	1.14.14.1
252	1.5.99.15
253	4.2.1.158
254	2.5.1.75
255	4.1.1.17
256	7.6.2.16
257	2.7.1.163
258	2.1.1.98
259	2.4.99.7
260	3.5.1.11
261	5.3.99.3
262	2.6.1.2
263	1.13.11.73
264	7.2.2.8
265	2.3.1.95
266	2.1.1.247
267	6.3.2.47
268	3.4.24.74
269	2.1.1.20
270	2.4.1.50
271	5.3.1.7
272	1.2.1.50
273	6.1.1.9
274	3.1.4.50
275	1.14.14.123
276	3.1.6.14
277	2.4.2.45
278	1.1.1.399
279	5.1.1.22
280	3.5.1.94
281	2.4.1.63
282	2.1.1.179
283	6.2.1.16
284	1.11.1.25
285	2.7.1.157
286	3.13.1.3
287	1.16.1.9
288	2.8.2.38
289	1.2.1.106
290	2.4.1.224
291	2.7.2.2
292	1.1.1.276
293	3.4.19.1
294	4.2.3.145
295	3.5.1.26
296	2.4.1.144
297	2.3.1.227
298	4.2.3.58
299	2.4.1.32
300	1.4.3.2
301	1.14.14.58
302	1.14.13.223
303	2.7.11.20
304	1.1.1.315
305	2.7.11.19
306	3.7.1.19
307	3.4.23.2
308	2.7.7.66
309	1.6.5.4
310	3.2.1.11
311	3.4.22.42
312	2.4.1.43
313	5.3.3.6
314	3.5.1.100
315	1.14.11.45
316	2.4.1.214
317	2.7.1.165
318	1.14.15.14
319	3.2.1.73
320	1.1.1.20
321	1.14.19.14
322	3.5.99.6
323	2.1.1.150
324	1.13.12.16
325	1.14.19.34
326	2.1.1.67
327	4.1.1.85
328	1.14.14.40
329	3.1.3.84
330	1.3.1.102
331	4.2.3.18
332	2.6.1.84
333	1.1.1.40
334	1.13.11.15
335	2.4.1.100
336	1.1.1.19
337	3.1.21.4
338	2.4.1.109
339	2.7.1.78
340	5.4.99.66
341	5.3.3.1
342	2.5.1.54
343	4.2.1.82
344	4.1.1.90
345	1.6.5.12
346	1.1.1.404
347	2.4.1.101
348	2.1.1.70
349	6.3.4.18
350	2.3.1.153
351	1.1.1.58
352	4.2.3.40
353	7.6.2.6
354	3.4.23.34
355	2.3.1.183
356	1.14.14.68
357	5.4.4.4
358	1.3.3.14
359	1.1.1.112
360	1.1.1.372
361	4.2.3.90
362	1.14.14.61
363	3.5.1.3
364	1.14.14.106
365	1.6.5.6
366	4.2.1.24
367	1.3.1.81
368	2.5.1.93
369	2.5.1.78
370	4.2.2.2
371	1.2.1.31
372	6.2.1.37
373	1.3.8.17
374	1.3.8.11
375	2.7.1.119
376	3.1.1.59
377	5.4.4.1
378	1.14.14.52
379	1.5.1.2
380	2.3.1.198
381	1.14.11.4
382	1.17.4.2
383	4.2.3.62
384	6.3.5.5
385	1.2.5.3
386	3.4.24.16
387	3.2.1.176
388	2.4.1.331
389	2.1.1.109
390	4.4.1.14
391	2.1.4.1
392	6.1.1.26
393	4.2.3.144
394	3.1.1.67
395	1.14.13.163
396	1.14.19.10
397	3.2.1.102
398	2.3.1.n5
399	3.1.1.45
400	5.3.99.10
401	1.1.98.2
402	2.4.1.16
403	3.4.24.53
404	2.8.2.34
405	3.2.1.131
406	4.2.1.155
407	1.2.99.6
408	6.3.4.22
409	3.8.1.10
410	1.14.14.30
411	3.4.22.61
412	1.14.13.166
413	3.2.1.188
414	2.4.2.3
415	4.1.1.109
416	4.1.99.23
417	1.1.1.367
418	1.1.3.43
419	4.1.3.24
420	1.3.5.4
421	3.2.2.n1
422	2.7.7.88
423	5.1.3.13
424	5.4.99.17
425	1.5.1.44
426	3.1.1.25
427	3.2.1.n2
428	6.3.2.53
429	1.14.14.81
430	2.8.1.13
431	3.7.1.7
432	3.5.4.40
433	3.1.12.1
434	7.2.4.3
435	3.5.4.6
436	1.14.14.125
437	1.1.1.256
438	2.1.1.258
439	1.5.1.21
440	6.3.3.5
441	1.14.14.127
442	4.2.3.74
443	4.2.2.20
444	5.1.3.25
445	2.3.1.157
446	1.14.15.9
447	2.5.1.114
448	4.1.1.97
449	7.5.2.3
450	2.3.1.59
451	3.4.24.32
452	4.3.2.3
453	2.8.4.1
454	1.14.20.11
455	2.4.1.206
456	2.4.99.20
457	2.3.1.167
458	3.4.21.43
459	5.3.3.7
460	1.1.1.287
461	4.2.1.35
462	1.14.14.71
463	1.14.18.5
464	4.2.1.124
465	2.4.1.376
466	3.1.1.10
467	6.3.2.1
468	2.3.1.109
469	1.1.3.6
470	1.1.1.181
471	4.1.1.82
472	3.4.13.9
473	2.6.1.107
474	3.5.4.26
475	3.6.1.43
476	2.5.1.83
477	4.2.3.26
478	1.14.13.234
479	3.2.1.23
480	1.14.18.4
481	1.1.1.328
482	5.5.1.28
483	2.3.2.22
484	2.4.1.352
485	2.7.1.144
486	6.3.3.4
487	1.14.99.n4
488	2.7.1.212
489	6.3.4.14
490	3.4.14.12
491	6.3.2.26
492	1.14.19.n4
493	3.5.1.115
494	4.1.99.14
495	1.2.1.47
496	2.7.8.14
497	2.5.1.21
498	5.3.1.25
499	3.6.1.10
500	2.7.7.56
501	1.14.13.128
502	1.13.11.38
503	7.6.2.4
504	1.11.2.5
505	2.4.2.51
506	2.7.7.97
507	1.1.1.50
508	2.4.1.236
509	1.11.1.16
510	4.2.1.113
511	3.2.1.167
512	1.3.8.5
513	1.3.8.16
514	2.1.1.367
515	2.1.1.345
516	1.13.11.58
517	3.2.1.169
518	2.7.8.7
519	1.20.9.1
520	1.13.11.33
521	2.8.1.6
522	2.4.1.339
523	1.1.1.407
524	2.7.1.226
525	2.1.1.332
526	2.4.1.287
527	1.7.1.16
528	2.3.1.194
529	3.2.2.26
530	3.2.2.3
531	5.99.1.4
532	1.4.1.13
533	2.7.1.31
534	4.2.1.125
535	1.2.1.70
536	1.1.1.395
537	2.7.1.175
538	2.1.1.64
539	2.1.1.239
540	6.3.4.16
541	4.1.2.49
542	1.14.12.1
543	2.3.1.224
544	3.6.1.69
545	3.4.13.22
546	3.1.3.71
547	2.5.1.10
548	1.14.13.n7
549	1.5.1.19
550	1.14.14.76
551	2.4.1.8
552	3.4.19.16
553	2.1.1.268
554	7.2.1.2
555	1.14.14.164
556	3.1.6.18
557	3.5.1.118
558	3.5.2.7
559	1.5.8.2
560	4.2.3.10
561	2.3.1.47
562	4.1.1.23
563	5.3.3.23
564	3.2.1.31
565	4.3.1.3
566	1.14.19.30
567	1.14.14.55
568	3.1.2.2
569	2.3.1.5
570	2.4.1.131
571	1.3.1.115
572	3.1.3.75
573	1.1.99.37
574	1.1.1.239
575	2.1.3.1
576	2.4.1.294
577	4.2.3.69
578	1.10.3.4
579	2.7.1.86
580	6.2.1.25
581	1.8.1.12
582	1.14.15.21
583	1.3.99.29
584	4.1.99.26
585	2.7.1.205
586	3.4.21.46
587	5.5.1.19
588	2.7.3.4
589	2.3.3.14
590	4.2.1.107
591	2.4.1.363
592	1.10.3.16
593	1.3.1.112
594	4.2.3.8
595	4.99.1.6
596	3.4.23.50
597	2.1.1.101
598	4.2.3.75
599	1.1.1.25
600	3.1.4.16
601	1.1.1.308
602	2.1.1.62
603	2.4.1.355
604	4.2.3.9
605	2.4.2.53
606	1.3.1.91
607	2.1.1.190
608	1.8.3.1
609	3.4.21.81
610	2.4.1.338
611	1.13.11.81
612	3.2.1.65
613	2.5.1.89
614	1.1.1.159
615	4.2.1.96
616	2.3.1.276
617	3.6.1.16
618	1.14.15.5
619	3.4.21.73
620	1.3.3.6
621	2.7.1.167
622	3.4.25.1
623	2.1.1.176
624	6.2.1.61
625	3.2.2.20
626	3.5.4.34
627	1.13.11.91
628	3.5.1.79
629	1.12.1.5
630	1.14.14.83
631	2.7.1.156
632	4.2.3.193
633	4.3.1.25
634	4.2.1.50
635	1.14.14.109
636	1.1.1.157
637	4.2.3.13
638	2.3.1.263
639	3.6.1.28
640	1.14.12.26
641	4.1.1.11
642	2.6.1.103
643	5.3.1.24
644	1.2.1.24
645	2.3.1.160
646	1.3.1.9
647	2.4.99.4
648	1.3.1.57
649	1.14.14.116
650	1.1.3.21
651	2.6.1.99
652	4.1.1.65
653	5.4.99.37
654	3.1.1.115
655	1.8.3.5
656	1.1.98.3
657	2.4.1.122
658	7.1.1.7
659	2.3.1.219
660	1.3.1.97
661	2.1.1.156
662	2.3.2.35
663	2.5.1.17
664	4.2.3.78
665	1.8.1.18
666	2.7.13.3
667	4.1.1.100
668	1.1.1.163
669	1.3.7.4
670	3.6.1.53
671	1.14.19.29
672	2.3.1.291
673	2.7.1.28
674	2.8.4.4
675	1.1.99.31
676	4.2.3.163
677	4.2.3.133
678	1.15.1.2
679	2.3.1.61
680	2.7.4.34
681	1.1.1.122
682	5.5.1.13
683	1.14.13.1
684	2.1.1.168
685	3.4.23.4
686	3.4.22.70
687	1.1.1.n4
688	1.2.99.7
689	1.3.99.17
690	1.5.1.37
691	1.14.14.18
692	3.1.1.78
693	2.3.1.268
694	2.5.1.115
695	5.1.3.35
696	3.5.5.5
697	5.5.1.18
698	3.4.17.1
699	2.3.1.245
700	3.4.15.1
701	4.2.3.191
702	1.21.3.3
703	2.8.1.12
704	1.1.1.339
705	6.3.4.24
706	1.3.1.19
707	3.1.3.5
708	1.1.1.90
709	3.2.1.45
710	4.2.1.48
711	1.3.1.120
712	2.1.1.72
713	5.3.2.3
714	1.14.13.84
715	1.1.1.173
716	1.3.7.8
717	2.1.1.221
718	3.4.21.6
719	1.1.1.332
720	3.9.1.3
721	2.1.1.45
722	5.3.1.12
723	1.1.1.375
724	4.2.3.1
725	2.3.1.199
726	4.3.1.14
727	5.3.3.22
728	1.3.7.1
729	2.1.1.146
730	2.7.1.82
731	6.2.1.70
732	2.4.1.297
733	3.1.26.8
734	1.12.98.3
735	1.1.1.39
736	1.13.11.68
737	2.4.1.7
738	3.2.1.17
739	3.4.21.2
740	1.3.1.87
741	2.3.1.170
742	3.2.1.125
743	1.17.1.8
744	2.1.1.297
745	2.6.1.16
746	2.7.1.4
747	3.4.24.73
748	3.1.1.64
749	4.2.1.157
750	2.7.12.1
751	2.4.1.13
752	2.1.3.3
753	1.14.14.32
754	6.3.2.46
755	3.1.1.35
756	1.2.98.1
757	1.1.1.376
758	3.2.1.6
759	2.1.1.336
760	3.2.2.1
761	4.2.3.137
762	3.1.6.6
763	2.5.1.109
764	2.7.6.5
765	1.1.1.37
766	2.7.1.217
767	1.1.1.261
768	5.1.3.14
769	1.14.14.87
770	4.2.2.15
771	2.3.1.288
772	2.3.1.169
773	1.1.1.270
774	4.1.2.25
775	1.1.1.402
776	5.4.99.39
777	6.3.4.23
778	1.14.11.52
779	3.1.3.32
780	3.5.1.29
781	1.8.98.6
782	3.1.1.17
783	2.1.1.145
784	3.5.1.54
785	2.4.1.327
786	6.3.1.12
787	3.5.1.131
788	2.1.1.4
789	2.1.1.193
790	1.2.1.96
791	3.1.3.85
792	1.8.4.13
793	1.8.1.5
794	3.4.22.45
795	1.1.1.146
796	3.5.3.3
797	1.13.11.9
798	3.4.24.71
799	4.2.3.131
800	1.2.3.5
801	2.7.1.17
802	1.14.13.105
803	1.1.3.15
804	3.4.24.24
805	3.1.13.1
806	3.6.1.71
807	3.6.4.6
808	1.3.1.114
809	2.4.1.305
810	2.6.1.11
811	1.14.18.1
812	4.2.3.118
813	2.1.1.293
814	3.4.23.24
815	5.3.2.1
816	4.4.1.26
817	4.1.2.44
818	1.1.1.88
819	3.5.4.15
820	3.5.1.9
821	4.2.3.126
822	1.14.11.36
823	5.2.1.2
824	1.14.14.24
825	1.1.1.343
826	2.1.1.175
827	1.1.1.73
828	1.1.1.387
829	7.4.2.6
830	1.2.1.22
831	5.4.99.18
832	2.7.1.197
833	2.5.1.23
834	2.7.1.113
835	4.2.3.81
836	2.7.7.13
837	1.8.5.4
838	4.1.1.51
839	3.5.4.13
840	4.2.3.168
841	3.1.2.28
842	1.8.4.12
843	4.2.3.47
844	3.7.1.1
845	3.1.4.58
846	2.6.1.19
847	3.1.1.5
848	4.2.3.83
849	2.1.1.56
850	4.1.1.59
851	1.1.99.35
852	3.5.2.17
853	1.2.1.38
854	3.5.4.46
855	3.2.2.17
856	3.4.14.13
857	1.2.1.100
858	1.14.14.48
859	2.7.1.188
860	2.5.1.19
861	1.5.3.18
862	4.2.3.115
863	1.3.99.30
864	3.4.24.46
865	1.14.11.33
866	2.4.1.274
867	4.6.1.18
868	1.13.12.22
869	3.2.1.32
870	2.7.1.101
871	2.4.1.344
872	1.14.14.153
873	4.1.1.80
874	4.2.3.104
875	3.5.1.86
876	3.2.1.178
877	3.8.1.7
878	3.5.3.22
879	1.14.17.1
880	2.4.1.268
881	1.14.19.31
882	1.17.2.1
883	2.1.1.171
884	3.4.22.10
885	3.4.11.18
886	3.6.1.7
887	2.4.2.46
888	3.4.11.25
889	1.1.1.132
890	6.1.1.5
891	2.7.1.58
892	3.5.2.15
893	2.7.11.10
894	2.7.3.5
895	2.8.3.15
896	1.11.1.20
897	1.1.1.289
898	3.2.1.60
899	2.7.8.45
900	3.4.17.13
901	5.1.1.19
902	1.2.1.75
903	3.1.1.2
904	6.2.1.13
905	1.1.1.307
906	3.1.1.84
907	1.6.5.9
908	5.3.1.31
909	3.5.1.10
910	2.4.1.269
911	4.2.3.19
912	1.14.15.15
913	3.4.24.56
914	1.3.1.34
915	1.14.14.129
916	2.3.1.191
917	2.7.1.148
918	2.5.1.125
919	1.14.11.65
920	2.7.7.85
921	1.1.1.116
922	2.4.2.62
923	3.7.1.11
924	4.1.1.73
925	4.2.3.45
926	2.7.8.42
927	3.2.1.182
928	5.1.3.21
929	1.1.1.382
930	4.3.1.23
931	2.8.2.3
932	4.2.3.149
933	1.14.14.103
934	2.1.1.85
935	2.4.2.26
936	1.4.99.5
937	1.12.7.2
938	1.14.13.43
939	3.1.1.41
940	3.2.1.165
941	3.4.24.77
942	2.1.1.213
943	3.4.21.88
944	1.2.1.13
945	2.3.2.26
946	1.1.1.383
947	5.1.3.11
948	3.4.21.27
949	1.14.19.49
950	7.2.2.15
951	2.1.1.329
952	3.2.1.142
953	1.11.1.27
954	3.1.11.1
955	4.1.1.114
956	1.14.20.6
957	3.4.21.69
958	1.97.1.9
959	3.2.1.2
960	3.7.1.14
961	1.14.14.36
962	4.2.2.8
963	4.2.3.72
964	6.2.1.9
965	1.14.14.74
966	2.5.1.42
967	4.2.1.115
968	3.10.1.1
969	3.5.1.108
970	1.12.2.1
971	1.14.12.10
972	3.4.23.22
973	4.4.1.24
974	2.5.1.22
975	4.1.1.111
976	1.3.1.78
977	4.2.3.43
978	2.7.7.81
979	2.5.1.137
980	2.7.4.23
981	1.5.98.1
982	4.2.3.105
983	3.2.2.2
984	3.1.1.73
985	6.3.1.19
986	1.11.1.13
987	2.7.11.25
988	1.5.1.16
989	1.14.14.51
990	3.5.1.83
991	5.1.99.8
992	4.1.3.4
993	3.1.1.4
994	2.1.1.283
995	2.6.1.59
996	3.4.23.29
997	1.3.1.75
998	1.11.1.2
999	1.13.11.75
1000	2.1.1.321
1001	2.7.4.2
1002	4.2.1.33
1003	1.11.2.2
1004	1.1.1.304
1005	2.1.1.251
1006	1.4.1.23
1007	2.7.1.223
1008	1.5.1.9
1009	1.1.1.248
1010	3.1.6.15
1011	2.4.2.60
1012	3.4.22.16
1013	1.1.1.102
1014	1.1.1.364
1015	1.13.11.45
1016	5.5.1.34
1017	2.7.1.19
1018	6.3.4.2
1019	1.14.11.25
1020	3.8.1.2
1021	3.1.3.50
1022	3.5.3.26
1023	1.14.19.12
1024	2.3.1.149
1025	2.4.1.332
1026	3.4.11.10
1027	3.4.24.25
1028	1.3.1.33
1029	3.1.2.23
1030	4.2.3.153
1031	3.1.2.29
1032	2.1.1.300
1033	3.4.15.6
1034	4.1.99.3
1035	1.14.18.12
1036	2.1.1.210
1037	1.1.1.357
1038	4.2.1.129
1039	3.1.3.57
1040	4.6.1.12
1041	1.1.1.64
1042	1.1.1.247
1043	4.1.1.99
1044	5.3.3.4
1045	3.4.24.36
1046	2.3.1.226
1047	2.7.4.14
1048	3.4.21.109
1049	1.14.19.71
1050	3.4.22.33
1051	4.2.1.103
1052	3.1.21.2
1053	2.7.1.2
1054	7.5.2.7
1055	3.2.1.7
1056	1.3.8.4
1057	7.2.2.17
1058	6.3.1.21
1059	4.99.1.4
1060	2.4.1.357
1061	2.3.1.214
1062	2.3.1.270
1063	3.6.1.6
1064	1.14.19.42
1065	3.7.1.4
1066	6.3.2.25
1067	1.2.1.68
1068	1.14.19.61
1069	1.14.18.7
1070	2.1.1.106
1071	3.6.1.29
1072	3.1.4.14
1073	1.13.11.29
1074	4.6.1.24
1075	3.1.1.75
1076	1.17.98.4
1077	4.1.3.26
1078	4.2.3.151
1079	3.5.3.11
1080	1.14.14.147
1081	1.6.5.5
1082	3.5.4.32
1083	1.13.11.3
1084	3.7.1.3
1085	1.14.13.171
1086	3.4.11.14
1087	3.7.1.22
1088	1.14.11.47
1089	1.14.13.218
1090	3.1.21.9
1091	3.1.3.21
1092	1.14.12.14
1093	2.4.1.260
1094	2.5.1.56
1095	5.1.3.32
1096	2.3.3.17
1097	5.3.2.2
1098	1.2.1.27
1099	1.8.4.9
1100	2.1.1.207
1101	1.1.99.28
1102	7.1.1.6
1103	1.3.1.121
1104	3.2.1.40
1105	6.3.2.38
1106	1.1.99.42
1107	4.1.99.17
1108	4.1.1.1
1109	1.21.4.2
1110	1.3.1.92
1111	1.2.1.94
1112	3.7.1.8
1113	5.4.99.56
1114	2.4.1.91
1115	1.1.1.348
1116	4.2.3.198
1117	2.4.1.322
1118	1.17.1.3
1119	1.14.14.175
1120	2.3.1.271
1121	3.1.3.39
1122	1.1.1.373
1123	3.1.3.63
1124	2.4.1.149
1125	3.4.22.48
1126	2.1.1.296
1127	3.1.3.46
1128	6.2.1.36
1129	2.7.1.171
1130	1.7.3.3
1131	2.4.2.61
1132	4.1.1.21
1133	5.4.99.1
1134	1.1.1.n5
1135	5.5.1.30
1136	1.14.99.53
1137	4.2.3.31
1138	6.3.3.1
1139	3.1.21.3
1140	2.7.8.23
1141	2.4.1.306
1142	4.2.3.120
1143	1.1.99.6
1144	2.7.4.16
1145	4.2.2.n2
1146	3.4.11.15
1147	1.14.19.25
1148	4.2.3.154
1149	3.1.3.96
1150	3.2.1.143
1151	6.1.1.7
1152	6.2.1.49
1153	2.7.1.178
1154	3.5.1.49
1155	5.4.3.10
1156	6.3.5.9
1157	2.7.2.3
1158	2.7.1.47
1159	1.7.1.7
1160	3.2.1.171
1161	3.4.21.34
1162	3.1.1.93
1163	4.2.1.36
1164	4.4.1.35
1165	3.4.22.32
1166	2.7.4.9
1167	2.7.1.25
1168	3.1.2.22
1169	2.1.1.233
1170	3.5.1.130
1171	2.4.1.14
1172	3.1.1.15
1173	5.1.3.31
1174	3.2.1.170
1175	2.7.1.67
1176	2.4.1.217
1177	5.3.99.2
1178	1.14.13.149
1179	2.5.1.130
1180	1.14.99.51
1181	2.3.1.258
1182	3.1.2.3
