Entry	Label
R84126efbb9122177f50f81fcff58422c31a5cf7ef7254420a381ce0f8ade1ec8	rule0310_rule0311
R922e16ad056d0d9e87f61239c734efcf9fafb99c77cc33d96608076b40678425	rule0120_rule0121
R8d9c400039c4568d063fa0a51b012da463f56d8a598cfd6c6478ae466b7f38aa	rule0010_rule0011
R5386d7c400c7c774dc0d52a933c7b4f676c4effc8a72b0ee5d0fdcd3cc3e120e	rule0142_rule0143
R57b2bc5bcccd3d7e9a71b4c948ad01d180e83e03cd89e34a5f6d37dc3474a8d9	rule0142_rule0143
R07e9d9991ff4898d51d57da9cf64f47f9124462f1880e37d1aaa1c48f17f4045	rule0142_rule0143
R159595c833084656ab730372463f757c3f53dedfd7711612821480c4633c82fa	rule0142_rule0143
R6251c1cd68a023240139d2d2944659b1dfea95e32986246ad08396885ef63682	rule1221_rule1222
R510cfe8ff2a12e5ce7ff817758c5004d485405cf556910d1eac693d5fd492663	rule0014_rule0015
R123f2fdc81ff4b35d587c277a6e23442d9bcc8ec4ded770ef9aec2d6beff6159	rule0036_rule0037
R5858908f1556aed480a0e5237eecf683cb0364f5046f8a5c1d72d559d9836490	rule0124_rule0125
R8986be54c0b363bec4779662e23a7fbfd8e4b6ed3e142e47f0077d549c160fbd	rule0036_rule0037
R2920641085a1923b56b141261726488e95b3a77103cf86abb5903cb232656b95	rule1056_rule1057
R3eeb091c89391c12ec049927f8e4ee0f581e83c159386100aacd755a3a3b2cf4	rule0008_rule0009
R501123bb884b2f019a5c74b0a8ecd5549d7167969846d4d8b35bc393c3b4da94	rule0008_rule0009
R46fd28430b38f8ccdd4158c2829b1a6e167eff7282f4765b99a9c73763603d11	rule0008_rule0009
R793df650b6ab03ebaf091c8edcb307e1fe210c3a6897781ea1341cec126b4ba5	rule0008_rule0009
R23d9b4f399155d089b1382c52d6821f885f33d1e4437c84a8615914594f10cce	rule0008_rule0009
Rca4d2f0b1ed7129e77226d4cd9884edfcdfbf0f7872d2c82439383b37b30d5f1	rule0142_rule0143
R8a3a044de4db27bc5197bdc1342678f330124829ee65e3061bc1dde2ac0e5d34	rule0109_rule0114
R4aa7aff9fa04644178a33d3a9a34e0d42e0c22721e736c6437ba571d9f8da671	rule0033_rule0034
R57913dbe0a8b3712946e7827a0c79cbba7d2b94dedef968f0e5325159d33c2a5	rule0014_rule0015
R8deb944ffca01d8bb2d1ba94d408224c67d0f710e34907452949b186859b9858	rule0014_rule0015
Ra2751fb9b28834c1415ba2cd52be760f2391c5c3dce824fabb141038d475d715	rule0850_rule0851
Re8913ddacc86d63b9acfd4505649c3c0f08900ae4e690151e230506bb38bbbde	rule0850_rule0851
R74c8e872863878b438386373a6a4bad397738830bd43a509aad498bb50aed971	rule0012_rule0013
Rfe88e5520206bb60e6231883949f9ea17108f77cda98b9f36312eb1af0346592	rule0107_rule0108
Rd04d5299cd201c6c200346328add998ce327c9801ae1282c3f8f7813e2c6726d	rule0217_rule0218
Rf7ff59ddcdc110b9af3ea43d543cd170a4b9923d656abf003056d829d171fd53	rule0217_rule0218
R0b5626751d78218c9187dd70fcfcfd5098dd4a834568857a08b57cca6dc27640	rule0023_rule0024
Rd3e78fd0ebb178a2d8cc037f71ac6af8eb5f659117acaac2178649cf1d49decf	rule0023_rule0024
R9086514c3ff03f30866138679236ae33df3d43d9162fcbfa6d1d3f14f0f5a63a	rule0080_rule0081
R21a7f169ed83601c9e3c22a311081bfc399e1e9605e8ba0b92c1ccb6e8251d6e	rule0179_rule0180
R8f64d5fb9ae5741c8e331010ef2d46252d97b870de8af775d2640137638fbf73	rule0262_rule0263
R1a3c2cf5823ffebe108498d8021d602c3ac7b294a8b8dfae6a8f9ac499b27ce2	rule0008_rule0009
Ra09fc5c7fbb906352e92e8ab574f820c1b4075721b897edbf640fd183e735da0	rule0008_rule0009
R4d84c9b0c9b52fba3cfc10699897f36f571b61fb80f39fe0b0bb52f65b1487e5	rule0006_rule0007
