A0A0E3KBH3	2-oxoacid:ferredoxin oxidoreductase subunit beta (OFOR) (EC 1.2.7.11)
A0A0H2URG7	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase GtfA subunit (EC 2.4.1.-) (Glycosyltransferase GtfA) (O-linked N-acetyl-D-glucosamine (O-GlcNAc) transferase)
A0A0H3JN63	Lipid II isoglutaminyl synthase (glutamine-hydrolyzing) subunit GatD (EC 6.3.5.13) (Lipid II isoglutaminyl synthase glutaminase subunit) (EC 3.5.1.2)
A0A0H3JUU7	Lipid II isoglutaminyl synthase (glutamine-hydrolyzing) subunit MurT (EC 6.3.5.13)
A0A0P6JG37	Acid ceramidase (AC) (ACDase) (Acid CDase) (EC 3.5.1.23) [Cleaved into: Acid ceramidase subunit alpha; Acid ceramidase subunit beta]
A0A1L4BJ46	Phospholipase A2 hemilipin (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase) (Phospholipase A(2)) [Cleaved into: Phospholipase A2 large subunit; Phospholipase A2 small subunit]
A0A383ZFX3	Acid ceramidase (AC) (ACDase) (Acid CDase) (EC 3.5.1.23) (Acylsphingosine deacylase) (N-acylethanolamine hydrolase ASAH1) (EC 3.5.1.-) (N-acylsphingosine amidohydrolase) [Cleaved into: Acid ceramidase subunit alpha; Acid ceramidase subunit beta]
A0A5C2A2T2	Conodipine-P1 (Cdpi-P1) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase) (Phospholipase A2) (PLA2) [Cleaved into: Conodipine-P1 alpha subunit; Conodipine-P1 beta subunit]
A0R607	Decaprenylphosphoryl-beta-D-ribose oxidase (EC 1.1.98.3) (Decaprenylphospho-beta-D-ribofuranose 2-dehydrogenase) (Decaprenylphosphoryl-beta-D-ribofuranose 2'-epimerase subunit DprE1) (Decaprenyl-phosphoribose 2'-epimerase subunit 1) (Decaprenylphosphoryl-beta-D-ribofuranose 2'-oxidase) (Decaprenylphosphoryl-beta-D-ribose 2-epimerase flavoprotein subunit) (FAD-dependent decaprenylphosphoryl-beta-D-ribofuranose 2-oxidase)
A1C3L9	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase GtfA subunit (EC 2.4.1.-) (Glycosyltransferase Gtf1) (Glycosyltransferase GtfA)
A5K464	Phenylalanine--tRNA ligase beta subunit (EC 6.1.1.20) (Phenylalanine tRNA-synthetase beta subunit) (FRS) (PheRS) (Phenylalanyl-tRNA synthetase beta subunit)
A5K9S0	Phenylalanine--tRNA ligase alpha subunit (EC 6.1.1.20) (Phenylalanine tRNA-synthetase alpha subunit) (FRS) (PheRS) (Phenylalanyl-tRNA synthetase alpha subunit)
B8YB56	DNA-directed RNA polymerase subunit Rpo3 (EC 2.7.7.6) (DNA-directed RNA polymerase subunit D)
C0HJL8	Phospholipase A2 nigroviriditoxin basic subunit B (Ngvtx-B) (svPLA2) (EC 3.1.1.4) (Phospholipase A(2))
C0HLF7	Basic phospholipase A2 sphenotoxin subunit B (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase)
C6KT50	Pyridoxal 5'-phosphate synthase subunit Pdx1 (PLP synthase subunit Pdx1) (EC 4.3.3.6)
D3DJG4	L-cysteine S-thiosulfotransferase subunit SoxA (EC 2.8.5.2) (Cytochrome c551 subunit diheme) (Protein SoxA1) (SoxAX cytochrome complex subunit A1) (Sulfur oxidizing protein A1) (Thiosulfate-oxidizing multienzyme system protein SoxA1) (TOMES protein SoxA1)
D3DJG5	L-cysteine S-thiosulfotransferase subunit SoxA (EC 2.8.5.2) (Cytochrome c551 subunit diheme) (Protein SoxA2) (SoxAX cytochrome complex subunit A2) (Sulfur oxidizing protein A2) (Thiosulfate-oxidizing multienzyme system protein SoxA2) (TOMES protein SoxA2)
D4GYI2	Anaerobic glycerol-3-phosphate dehydrogenase subunit A1 (G-3-P dehydrogenase A1) (G3PDH A1) (EC 1.1.5.3)
D7A6E5	L-cysteine S-thiosulfotransferase subunit SoxA (EC 2.8.5.2) (Cytochrome c551 subunit monoheme) (Protein SoxA) (SoxAX cytochrome complex subunit A) (Sulfur oxidizing protein A) (Thiosulfate-oxidizing multienzyme system protein SoxA) (TOMES protein SoxA)
D9IA43	Cbb3-type cytochrome c oxidase subunit CcoN1 (EC 7.1.1.9) (Cytochrome CBB3 subunit CcoN1)
D9PUX5	Fumarate reductase (CoM/CoB) subunit B (EC 1.3.4.1) (Thiol:fumarate reductase subunit B)
E3PRJ4	Lysine 5,6-aminomutase beta subunit (5,6-LAM) (EC 5.4.3.3) (D-lysine 5,6-aminomutase beta subunit) (L-beta-lysine 5,6-aminomutase beta subunit)
E3PRJ5	Lysine 5,6-aminomutase alpha subunit (5,6-LAM) (EC 5.4.3.3) (D-lysine 5,6-aminomutase alpha subunit) (L-beta-lysine 5,6-aminomutase alpha subunit)
E7FHC4	Sulfhydrogenase 2 subunit alpha (EC 1.12.1.5) (Hydrogen dehydrogenase (NAD(P)(+))) (Hydrogenase-II subunit alpha) (H-II alpha) (NADP-reducing hydrogenase subunit ShyA) (Sulfhydrogenase II subunit alpha)
E7FHF8	Sulfhydrogenase 2 subunit delta (EC 1.12.1.5) (Hydrogen dehydrogenase (NAD(P)(+))) (Hydrogenase-II subunit delta) (H-II delta) (NADP-reducing hydrogenase subunit ShyD) (Sulfhydrogenase II subunit delta)
E7FHP1	Acetate--CoA ligase [ADP-forming] I subunit beta (EC 6.2.1.13) (ADP-forming acetyl coenzyme A synthetase I subunit beta) (ACS I subunit beta)
E7FHU4	Sulfhydrogenase 1 subunit delta (EC 1.12.1.3) (Hydrogenase I small subunit) (NADP-reducing hydrogenase subunit HydD) (Sulfhydrogenase I subunit delta)
E7FI44	Sulfhydrogenase 1 subunit alpha (EC 1.12.1.3) (Hydrogenase I large subunit) (NADP-reducing hydrogenase subunit HydA) (Sulfhydrogenase I subunit alpha)
E7FI45	Acetate--CoA ligase [ADP-forming] I subunit alpha (EC 6.2.1.13) (ADP-forming acetyl coenzyme A synthetase I subunit alpha) (ACS I subunit alpha)
F1SVH7	F(420)H(2) dehydrogenase subunit B (EC 1.5.98.3) (F(420)H(2)-dependent phenazine dehydrogenase subunit B) (F(420)H(2)-dependent phenazine oxidoreductase subunit B) (FPO subunit B) (Methanophenazine hydrogenase subunit B) (Methanosarcina-phenazine hydrogenase subunit B)
G1T7U7	N-acylethanolamine-hydrolyzing acid amidase (EC 3.5.1.60) (Acylsphingosine deacylase NAAA) (EC 3.5.1.23) [Cleaved into: N-acylethanolamine-hydrolyzing acid amidase subunit alpha; N-acylethanolamine-hydrolyzing acid amidase subunit beta]
