Entry 1	Entry 2	Embedding cosine similarity	Percent Identity
B9DS83	Q9L6S1	0.9719061	0.3367952522255193
B9DS83	A5VQW7	0.97724295	0.2697841726618705
B9DS83	Q6M6E7	0.9786474	0.2841726618705036
B9DS83	C5DA16	0.97646075	0.2841726618705036
B9DS83	Q1I7L3	0.98324996	0.3255395683453237
B9DS83	P0A6R1	0.97641015	0.2949640287769784
B9DS83	Q4K502	0.98594683	0.3057553956834532
B9DS83	Q5DZM3	0.98453784	0.28167539267015707
B9DS83	Q8E091	0.9783577	0.3435251798561151
B9DS83	A0AJL9	0.98216313	0.37949640287769787
B9DS83	C3LWJ3	0.9729363	0.3057553956834532
B9DS83	B2UVM8	0.96557033	0.12050359712230216
B9DS83	Q6HCU5	0.9740824	0.2589928057553957
B9DS83	B1J539	0.97795755	0.2751798561151079
B9DS83	O26273	0.9777346	0.38305084745762713
B9DS83	A5UK92	0.98182696	0.23741007194244604
B9DS83	Q68XC0	0.9785652	0.29136690647482016
B9DS83	C4LA25	0.9757441	0.30935251798561153
B9DS83	A8GB83	0.9832566	0.3237410071942446
B9DS83	Q88UE5	0.969415	0.14928057553956833
B9DS83	Q5HFM2	0.98103833	0.29856115107913667
B9DS83	Q65FV7	0.9819175	0.35611510791366907
B9DS83	B1ILB0	0.97690535	0.24820143884892087
B9DS83	Q29HY3	0.94580775	0.210431654676259
B9DS83	A7FH25	0.97629493	0.29136690647482016
B9DS83	P18652	0.9520544	0.3257978723404255
B9DS83	A5UMW9	0.98166496	0.33379888268156427
B9DS83	A0R1Y4	0.9722939	0.33016304347826086
B9DS83	Q8TYL4	0.9681343	0.22482014388489208
B9DS83	P0DD57	0.97121793	0.23741007194244604
B9DS83	Q2P8F2	0.9737801	0.3273381294964029
B9DS83	A8FEM5	0.97720337	0.24280575539568344
B9DS83	A6VI22	0.96537673	0.2751798561151079
B9DS83	Q8K2I3	0.9716223	0.36510791366906475
B9DS83	Q9KLG8	0.9793145	0.24820143884892087
B9DS83	B7JFS7	0.97060174	0.17805755395683454
B9DS83	Q7VT27	0.9750227	0.3597122302158273
B9DS83	Q0IE55	0.97988015	0.35431654676258995
B9DS83	Q7NAI9	0.9654112	0.24820143884892087
B9DS83	Q0HZT2	0.98368526	0.35071942446043164
B9DS83	M0ZYF3	0.9772601	0.35611510791366907
B9DS83	Q6BLM3	0.96221715	0.33093525179856115
B9DS83	Q5ZJV9	0.9410787	0.25
B9DS83	Q3A3N8	0.9738979	0.20503597122302158
B9DS83	Q68XM3	0.98256797	0.3537190082644628
B9DS83	B0K971	0.9740474	0.18705035971223022
B9DS83	Q9RAM7	0.9733212	0.25
B9DS83	Q01YC2	0.9721211	0.2715827338129496
B9DS83	B2V7G7	0.97812825	0.2302158273381295
B9DS83	Q3KSV5	0.97932315	0.33992805755395683
B9DS83	B5QWJ0	0.9797031	0.33093525179856115
B9DS83	B8H2S2	0.9767113	0.33093525179856115
B9DS83	Q8R9A6	0.9810211	0.30755395683453235
B9DS83	B1JXC4	0.9637677	0.19784172661870503
B9DS83	A8A587	0.9675099	0.21402877697841727
B9DS83	P12997	0.9056609	0.008992805755395683
B9DS83	A6TWN2	0.9758492	0.25539568345323743
B9DS83	P42215	0.9731108	0.11870503597122302
B9DS83	B7LR56	0.9783799	0.33093525179856115
B9DS83	Q891R5	0.97805154	0.2909090909090909
B9DS83	Q5PM06	0.9768013	0.32005494505494503
B9DS83	A9W900	0.9820428	0.3129496402877698
B9DS83	B1LNM1	0.96596545	0.2392086330935252
B9DS83	Q2UJ97	0.9721904	0.3237410071942446
B9DS83	P0DF19	0.9750693	0.2733812949640288
B9DS83	A0AFT6	0.9760922	0.31115107913669066
B9DS83	P13107	0.9549103	0.3327338129496403
B9DS83	P92692	0.9445024	0.34532374100719426
B9DS83	B8J162	0.97063714	0.22482014388489208
B9DS83	Q0HLG6	0.9831874	0.35071942446043164
B9DS83	Q12S90	0.9768464	0.25539568345323743
B9DS83	Q5HUR4	0.97701377	0.2517985611510791
B9DS83	B0BAL6	0.976709	0.29676258992805754
B9DS83	Q2P2G1	0.980034	0.3363309352517986
B9DS83	Q2QS14	0.97352904	0.36151079136690645
B9DS83	Q758H6	0.9532446	0.22482014388489208
B9DS83	C3LVU3	0.97647786	0.316043425814234
B9DS83	Q7N7B1	0.98006374	0.3363309352517986
B9DS83	Q11WK3	0.98557496	0.36330935251798563
B9DS83	A0AK11	0.97955394	0.17266187050359713
B9DS83	B1JER5	0.9782031	0.28776978417266186
B9DS83	B4S9H5	0.9845042	0.26258992805755393
B9DS83	A8IJ80	0.97451067	0.29676258992805754
B9DS83	P15086	0.97514737	0.31115107913669066
B9DS83	Q5GRM3	0.9780307	0.36151079136690645
B9DS83	Q5Z297	0.9699856	0.27697841726618705
B9DS83	B3LP78	0.97530955	0.3489208633093525
B9DS83	Q5GZ51	0.9784165	0.35251798561151076
B9DS83	Q2SYH7	0.9786775	0.31115107913669066
B9DS83	A1TC03	0.9738555	0.21402877697841727
B9DS83	C5BWR2	0.9799477	0.33198924731182794
B9DS83	Q69ST6	0.9653985	0.3597122302158273
B9DS83	Q8CUT9	0.9811927	0.2841726618705036
B9DS83	Q92SX6	0.9767019	0.24640287769784172
B9DS83	Q7V4W4	0.97858787	0.3579136690647482
B9DS83	Q0TN59	0.97910845	0.35347432024169184
B9DS83	Q7U469	0.9740788	0.2068345323741007
B9DS83	P49420	0.9844923	0.2949640287769784
B9DS83	Q4L7T2	0.9796408	0.302158273381295
Q9L6S1	A5VQW7	0.97922385	0.23293768545994065
Q9L6S1	Q6M6E7	0.97035336	0.24925816023738873
Q9L6S1	C5DA16	0.9725554	0.2522255192878338
Q9L6S1	Q1I7L3	0.9780651	0.2818991097922849
Q9L6S1	P0A6R1	0.9777337	0.2507418397626113
Q9L6S1	Q4K502	0.97787017	0.258160237388724
Q9L6S1	Q5DZM3	0.97591674	0.3099476439790576
Q9L6S1	Q8E091	0.96918035	0.28635014836795253
Q9L6S1	A0AJL9	0.9748031	0.3219584569732938
Q9L6S1	C3LWJ3	0.97800636	0.27299703264094954
Q9L6S1	B2UVM8	0.964083	0.1142433234421365
Q9L6S1	Q6HCU5	0.9729972	0.228486646884273
Q9L6S1	B1J539	0.9750101	0.2403560830860534
Q9L6S1	O26273	0.97259295	0.3516320474777448
Q9L6S1	A5UK92	0.97341627	0.19732937685459942
Q9L6S1	Q68XC0	0.9729052	0.2522255192878338
Q9L6S1	C4LA25	0.9803141	0.2789317507418398
Q9L6S1	A8GB83	0.9782894	0.2789317507418398
Q9L6S1	Q88UE5	0.9651703	0.129080118694362
Q9L6S1	Q5HFM2	0.97247636	0.2774480712166172
Q9L6S1	Q65FV7	0.964993	0.327893175074184
Q9L6S1	B1ILB0	0.97137296	0.2166172106824926
Q9L6S1	Q29HY3	0.94932514	0.18545994065281898
Q9L6S1	A7FH25	0.97815955	0.25370919881305637
Q9L6S1	P18652	0.96247685	0.35106382978723405
Q9L6S1	A5UMW9	0.9675356	0.3505586592178771
Q9L6S1	A0R1Y4	0.97297513	0.35054347826086957
Q9L6S1	Q8TYL4	0.9639746	0.21068249258160238
Q9L6S1	P0DD57	0.96711445	0.21364985163204747
Q9L6S1	Q2P8F2	0.9799783	0.2893175074183976
Q9L6S1	A8FEM5	0.97540134	0.20919881305637983
Q9L6S1	A6VI22	0.9526174	0.24925816023738873
Q9L6S1	Q8K2I3	0.97186434	0.3323442136498516
Q9L6S1	Q9KLG8	0.9781592	0.21216617210682492
Q9L6S1	B7JFS7	0.9612759	0.16023738872403562
Q9L6S1	Q7VT27	0.98130107	0.31008902077151335
Q9L6S1	Q0IE55	0.9767802	0.3115727002967359
Q9L6S1	Q7NAI9	0.96788883	0.23293768545994065
Q9L6S1	Q0HZT2	0.9737452	0.3026706231454006
Q9L6S1	M0ZYF3	0.9770932	0.31305637982195844
Q9L6S1	Q6BLM3	0.95682234	0.31008902077151335
Q9L6S1	Q5ZJV9	0.948232	0.2344213649851632
Q9L6S1	Q3A3N8	0.97765577	0.17507418397626112
Q9L6S1	Q68XM3	0.978584	0.3456973293768546
Q9L6S1	B0K971	0.9551286	0.1543026706231454
Q9L6S1	Q9RAM7	0.9648864	0.22551928783382788
Q9L6S1	Q01YC2	0.9682878	0.23738872403560832
Q9L6S1	B2V7G7	0.9725662	0.2032640949554896
Q9L6S1	Q3KSV5	0.97054005	0.2893175074183976
Q9L6S1	B5QWJ0	0.9825576	0.2922848664688427
Q9L6S1	B8H2S2	0.9796736	0.2922848664688427
Q9L6S1	Q8R9A6	0.9643965	0.26706231454005935
Q9L6S1	B1JXC4	0.967568	0.17507418397626112
Q9L6S1	A8A587	0.9724494	0.1913946587537092
Q9L6S1	P12997	0.89413756	0.00741839762611276
Q9L6S1	A6TWN2	0.9708936	0.23293768545994065
Q9L6S1	P42215	0.9717136	0.09050445103857567
Q9L6S1	B7LR56	0.9709385	0.29821958456973297
Q9L6S1	Q891R5	0.97217196	0.32272727272727275
Q9L6S1	Q5PM06	0.9783368	0.3626373626373626
Q9L6S1	A9W900	0.9762521	0.2596439169139466
Q9L6S1	B1LNM1	0.96259433	0.22551928783382788
Q9L6S1	Q2UJ97	0.9672238	0.29376854599406527
Q9L6S1	P0DF19	0.96751404	0.24777448071216618
Q9L6S1	A0AFT6	0.97586757	0.27596439169139464
Q9L6S1	P13107	0.95550895	0.3086053412462908
Q9L6S1	P92692	0.9461674	0.3086053412462908
Q9L6S1	B8J162	0.97267836	0.18991097922848665
Q9L6S1	Q0HLG6	0.9830274	0.31305637982195844
Q9L6S1	Q12S90	0.9716273	0.2195845697329377
Q9L6S1	Q5HUR4	0.96883446	0.2314540059347181
Q9L6S1	B0BAL6	0.9747747	0.27002967359050445
Q9L6S1	Q2P2G1	0.9769843	0.2952522255192878
Q9L6S1	Q2QS14	0.973641	0.31008902077151335
Q9L6S1	Q758H6	0.9522839	0.19287833827893175
Q9L6S1	C3LVU3	0.9785845	0.32689987937273823
Q9L6S1	Q7N7B1	0.9794201	0.2952522255192878
Q9L6S1	Q11WK3	0.9798042	0.32047477744807124
Q9L6S1	A0AK11	0.9754394	0.14688427299703263
Q9L6S1	B1JER5	0.976047	0.2655786350148368
Q9L6S1	B4S9H5	0.97468114	0.228486646884273
Q9L6S1	A8IJ80	0.9790604	0.26112759643916916
Q9L6S1	P15086	0.9738555	0.2922848664688427
Q9L6S1	Q5GRM3	0.9731622	0.314540059347181
Q9L6S1	Q5Z297	0.9715031	0.23738872403560832
Q9L6S1	B3LP78	0.9642776	0.3249258160237389
Q9L6S1	Q5GZ51	0.98300153	0.32047477744807124
Q9L6S1	Q2SYH7	0.981341	0.271513353115727
Q9L6S1	A1TC03	0.9754874	0.19732937685459942
Q9L6S1	C5BWR2	0.9756496	0.3588709677419355
Q9L6S1	Q69ST6	0.9689663	0.3249258160237389
Q9L6S1	Q8CUT9	0.9692466	0.24629080118694363
Q9L6S1	Q92SX6	0.97825783	0.2195845697329377
Q9L6S1	Q7V4W4	0.97644347	0.31305637982195844
Q9L6S1	Q0TN59	0.97572875	0.3664688427299703
Q9L6S1	Q7U469	0.97708946	0.18694362017804153
Q9L6S1	P49420	0.9772551	0.2655786350148368
Q9L6S1	Q4L7T2	0.9756166	0.2596439169139466
A5VQW7	Q6M6E7	0.9787776	0.3522388059701492
A5VQW7	C5DA16	0.98304826	0.3353846153846154
A5VQW7	Q1I7L3	0.9799722	0.30670103092783507
A5VQW7	P0A6R1	0.9783116	0.3722397476340694
A5VQW7	Q4K502	0.9842561	0.332378223495702
A5VQW7	Q5DZM3	0.9770962	0.18534031413612564
