Entry	Max cosine similarity	Mean cosine similarity	Max percent identity	Mean percent identity
E0VIU9	0.9979322	0.969037	0.6037344398340249	0.28584067499663757
Q838J7	0.99488205	0.97111356	0.5094339622641509	0.30681553555406854
P47482	0.99428535	0.9683521	0.45918367346938777	0.30089368471798217
B1VB82	0.9991219	0.96885115	0.7466666666666667	0.2989906930979416
R9QMR1	0.9999449	0.96090037	0.982484076433121	0.26701964688795155
R9QMW2	0.9999703	0.9607389	0.9840764331210191	0.2668392344058628
E0W1I1	0.99634504	0.96461904	0.4576976421636616	0.27288510194403764
Q66H88	0.9868189	0.964738	0.40878378378378377	0.2918282909395855
Q8IWZ4	0.98893505	0.93717927	0.388646288209607	0.26547312810581125
D0UZK2	0.9994947	0.95267534	0.6122082585278277	0.28040012123023
G0Y7D1	0.9991482	0.9570656	0.5422297297297297	0.27405119942705286
A0A1V0E492	0.99930096	0.95608234	0.5205724508050089	0.27491467810399406
I7GPX8	0.99914896	0.9577632	0.6216666666666667	0.27016661843329626
A0A142BX70	0.99961066	0.9537938	0.6466302367941712	0.2763845464039477
I7H727	0.9994032	0.95048165	0.6714542190305206	0.27705508586923233
G0Y7D3	0.999219	0.95617646	0.6114864864864865	0.27174470916268967
A0A2R4QKX7	0.99930006	0.9556702	0.5276292335115864	0.2777312987229628
A0A0D4D912	0.9998684	0.9543544	0.9105545617173524	0.27886194813636167
W6HUT3	0.99887925	0.95871794	0.5295109612141653	0.26822656927026256
U5PZT6	0.9991282	0.95747334	0.5489864864864865	0.269909678896425
G8H5M7	0.999984	0.95107156	0.9871323529411765	0.27704054006597406
Q25998	0.99072737	0.96374124	0.4646017699115044	0.2842326791184802
Q96T68	0.992714	0.9605618	0.3852573018080668	0.24219504847996495
Q6K431	0.9901657	0.96544254	0.3767123287671233	0.20540678157823128
G5EEU2	0.9960506	0.95942444	0.38235294117647056	0.24502977711959187
Q06ZW3	0.98901296	0.9624238	0.38294010889292196	0.2679831180139081
Q57596	0.99834013	0.9627936	0.5986159169550173	0.2738461797658316
A0A163UT06	0.991076	0.9552117	0.4151624548736462	0.29176794497112796
Q09820	0.99447733	0.9755214	0.39282153539381853	0.2178715471468053
Q8VZ17	0.9953917	0.9650067	0.4253164556962025	0.2362622204212403
F2XFA6	0.9996731	0.96056694	0.7428571428571429	0.26816051482331993
C0PPR1	0.9997053	0.96085674	0.7292993630573248	0.26776343954791443
F2XF93	0.9997	0.9603071	0.7412698412698413	0.2680821347724516
B7N6P4	0.99994886	0.97564375	0.985781990521327	0.3011659855621849
A0A5Y6MCT2	0.99955314	0.97578055	0.8767772511848341	0.30348238874933925
Q9UAV5	0.9983448	0.9731636	0.6488095238095238	0.3071323117552059
B0BNF9	0.99993956	0.96900994	0.9648648648648649	0.3120523975100077
O42881	0.9939454	0.97309715	0.41517857142857145	0.2811284156381427
Q12354	0.9930705	0.9717613	0.40969162995594716	0.2805784669234334
Q62994	0.99516207	0.9514517	0.45496535796766746	0.2896260318605895
I1RY35	0.9993927	0.96488035	0.7282608695652174	0.29826111903286906
Q93YB2	0.99953526	0.96832246	0.8170974155069582	0.290829504420976
R9QMW7	0.9997851	0.96124065	0.7181528662420382	0.26790913345192324
P9WEP6	0.9986905	0.96768206	0.4721189591078067	0.28435404411310883
W7MTI6	0.9984515	0.9680358	0.4628252788104089	0.28545198698218216
Q9ZT92	0.9885242	0.9613321	0.38879159369527144	0.2660755487561885
Q3TSG4	0.9998631	0.96337295	0.9696202531645569	0.2925712423878475
E1BH29	0.9997928	0.9630448	0.9720812182741116	0.2943252445533833
Q6FW75	0.9927186	0.9715752	0.4260869565217391	0.2821910682010598
Q4PID3	0.9927827	0.9720917	0.44583333333333336	0.2938058778594262
A0A4X1T4U3	0.99904144	0.9620802	0.8016701461377871	0.29211785722064526
Q0P8J1	0.99729437	0.96867913	0.5565217391304348	0.2757318757162292
Q4WEB8	0.99916756	0.9686342	0.723342939481268	0.3043308710323147
Q59VG6	0.99999636	0.9662805	0.9974093264248705	0.2887880126237002
W7MLD8	0.9987997	0.96778417	0.4854014598540146	0.2878749937051226
Q9LDQ3	0.99583113	0.963177	0.5067264573991032	0.2534321299546861
Q68F54	0.9972106	0.95663214	0.5956175298804781	0.27929901830745013
A0A011QK89	0.99262965	0.97183317	0.44329896907216493	0.30965145742184613
A0A0M7LBC1	0.99373776	0.9727595	0.463768115942029	0.3120878311971708
S2DJ52	0.9965017	0.9753383	0.5150115473441108	0.30429769585211325
C6KEM4	0.9998105	0.96892434	0.8893280632411067	0.2891432564203826
R9QMW8	0.9996817	0.9608169	0.7974481658692185	0.26709476240251745
Q4WQ95	0.9984771	0.966007	0.5660639777468707	0.247382925779125
D7NJ68	0.99866974	0.9654688	0.571625344352617	0.24646672389664162
Q5A888	0.999972	0.969174	0.9884393063583815	0.3051380590601749
I1RE80	0.9982719	0.9687765	0.5780669144981413	0.2803281103458087
W7MSI0	0.99691516	0.96687376	0.41025641025641024	0.2777325468978708
P38993	0.99634725	0.96760017	0.4056603773584906	0.257235083223055
A1IIX4	0.998539	0.9734228	0.5994318181818182	0.31373113836538513
F2XF94	0.9999865	0.95958215	0.9872408293460925	0.2665656840966877
R9QMW4	0.9997262	0.95998025	0.7990430622009569	0.2676963891748392
Q5ASI2	0.99237317	0.9732653	0.41841004184100417	0.2899821291579619
Q8DY32	0.9888378	0.972251	0.4205128205128205	0.2702287940398554
